"Region","School District","Year","Gender","Total"
67,"Okanagan Skaha",2006,"T",51869
68,"Nanaimo-Ladysmith",2006,"T",109966
69,"Qualicum",2006,"T",42770
70,"Alberni",2006,"T",31076
71,"Comox Valley",2006,"T",60365
72,"Campbell River",2006,"T",40164
73,"Kamloops/Thompson",2006,"T",107119
74,"Gold Trail",2006,"T",11516
75,"Mission",2006,"T",40479
78,"Fraser - Cascade",2006,"T",16805
79,"Cowichan Valley",2006,"T",67245
81,"Fort Nelson",2006,"T",6258
82,"Coast Mountains",2006,"T",36519
83,"Okanagan - Shuswap",2006,"T",51733
84,"Vancouver Island West",2006,"T",2503
85,"Vancouver Island North",2006,"T",12005
87,"Stikine",2006,"T",2160
91,"Nechako Lakes",2006,"T",23127
92,"Nisga'a",2006,"T",1948
5,"Southeast Kootenay",2007,"T",38886
6,"Rocky Mountain",2007,"T",24338
8,"Kootenay Lake",2007,"T",39794
10,"Arrow Lakes",2007,"T",4629
19,"Revelstoke",2007,"T",7825
20,"Kootenay-Columbia",2007,"T",31770
22,"Vernon",2007,"T",62996
23,"Central Okanagan",2007,"T",172518
27,"Cariboo - Chilcotin",2007,"T",40268
28,"Quesnel",2007,"T",22848
33,"Chilliwack",2007,"T",81294
34,"Abbotsford",2007,"T",131401
35,"Langley",2007,"T",124616
36,"Surrey",2007,"T",442899
37,"Delta",2007,"T",100714
38,"Richmond",2007,"T",185818
39,"Vancouver",2007,"T",620146
40,"New Westminster",2007,"T",61642
41,"Burnaby",2007,"T",214613
42,"Maple Ridge-Pitt Meadows",2007,"T",89348
43,"Coquitlam",2007,"T",208031
44,"North Vancouver",2007,"T",133565
45,"West Vancouver",2007,"T",50953
46,"Sunshine Coast",2007,"T",28198
47,"Powell River",2007,"T",19274
48,"Sea to Sky",2007,"T",32450
49,"Central Coast",2007,"T",3400
50,"Haida Qwaii/Queen Charlotte",2007,"T",4758
51,"Boundary",2007,"T",12234
52,"Prince Rupert",2007,"T",14788
53,"Okanagan Similkameen",2007,"T",23796
54,"Bulkley Valley",2007,"T",14927
57,"Prince George",2007,"T",93890
58,"Nicola - Similkameen",2007,"T",16046
59,"Peace River South",2007,"T",26146
60,"Peace River North",2007,"T",33475
61,"Greater Victoria",2007,"T",217729
62,"Sooke",2007,"T",62710
63,"Saanich",2007,"T",62049
64,"Gulf Islands",2007,"T",14791
67,"Okanagan Skaha",2007,"T",52451
68,"Nanaimo-Ladysmith",2007,"T",110389
69,"Qualicum",2007,"T",43555
70,"Alberni",2007,"T",31008
71,"Comox Valley",2007,"T",61502
